RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R019204,China Hong Kong Dragon Power International Underwater Technology Consultant Service Limited,70106907,"Unit 7B30, 7/F, Rykadan Capital Tower, 135, Hoi Bun Road, Kwun Tong, Kowloon",37491263,23413590,shirleyli@wodhk.com,21 Oct 2024,20 Oct 2027,01.09 General Civil Works :: Marine works
R019262,"Hong Kong Hang Tong Co., Limited",60544355,"Room 1517, 15/F, Seapower Tower, Concordia Plaza, No.1, Science Museum Road, Yau Tsim Mong, Kowloon",21856530,21856256,zhangjingrui@ccccltd.cn,4 Dec 2024,3 Dec 2027,01.09 General Civil Works :: Marine works
R019626,Hong Kong Diving Service Co.,35276377,"Flat 409, Hip Wo House, Wo Che Estate, Shatin, N.T.",62201480,,diver80651@yahoo.com.hk,8 Sep 2025,7 Sep 2028,01.09 General Civil Works :: Marine works
R019703,Maritime Mechanic Limited,15957121,"Unit 12, 24/F, Eight Commercial Tower, No. 8, Sun Yip Street, Chai Wan, Eastern, Hong Kong",27650113,23656708,info@maritime.hk,6 Oct 2025,5 Oct 2028,01.09 General Civil Works :: Marine works
R019824,Yun Lee Marine Services (Hong Kong) Company Limited,18482343,"Whole Floor 25/F, Omega Plaza, No. 32-34A , Dundas Street, Yau Tsim Mong, Kowloon",27711825,23881370,info_hk@yunlee.com.hk,14 Jan 2026,13 Jan 2029,01.09 General Civil Works | 01.09 General Civil Works :: Marine works
R019829,Sanlee New Energy Limited,77226677,"25/F, Omega Plaza, 32-34A, Dundas Street, Yau Tsim Mong, Kowloon",27711825,23881370,info@sanleenewenergy.com,14 Jan 2026,13 Jan 2029,01.09 General Civil Works | 01.09 General Civil Works :: Marine works
R000201,Hing Lung Civil Construction Company Limited,21517921,"Room 3603, 36/F, Block E Galaxia, 3, Lung Poon Street, Wong Tai Sin, Kowloon",25533697,30122638,hinglung_civil@yahoo.com.hk,6 Apr 2026,5 Apr 2029,01.09 General Civil Works :: Ground investigation
R000281,Teemway Engineering Limited,14666943,"Room 1008, 10/F, Chevalier Commercial Centre, 8, Wang Hoi Road, Kwun Tong, Kowloon",27962268,27962217,works@teemway.com,30 Apr 2026,29 Apr 2029,01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Soil Remediation) | 01.10 Other Structural and Civil Trades :: Asbestos removal
R000743,Fugro Geotechnical Services Limited,16200189,"19/F, Fugro House-KCC2, No.1 , Kwai On Road, Kwai Chung, New Territories",26971126,26940659,fgs@fugro.com,7 Oct 2021,6 Oct 2026,01.09 General Civil Works :: Ground investigation
R000940,Lam Geotechnics Limited,06273669,"19/F, Remex Centre, 42, Wong Chuk Hang Road, Hong Kong",28823939,28823331,info@lamgeo.com,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Ground investigation
R001134,Chung Shun Boring Engineering Company Limited,19558416,"Room 8, 9/F, Block A, Fuk Keung Industrial Building, No. 66-68, Tong Mi Road, Mongkok, Kowloon",23926488,30206104,geol@chungshun-rsc.com.hk,3 Nov 2023,2 Nov 2026,01.09 General Civil Works :: Ground investigation
R001170,Inter Pacific Limited,01869423,"Room 12, 6/F, Shun Fat Industrial Building, 17, Wang Hoi Road, Kowloon Bay, Kowloon",25193008,25193280,mail.intpac@gmail.com,3 Nov 2023,2 Nov 2026,01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing
R001374,Gold Ram Engineering & Development Limited,09358456,"Room 709-711, 7/F, Hong Kong Plaza, 186-191, Connaught Road West, Hong Kong",25598802,25598644,goldram@goldram.com.hk,14 Dec 2023,13 Dec 2026,01.09 General Civil Works :: Ground investigation
R001580,Chung Sing Piling Engineering Co,16975207,"Flat 235, 2/F, Federal Plaza, 465-471, Castle Peak Road, Cheung Sha Wan, Kowloon",90472477,27455306,chiming1964@yahoo.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Ground investigation
R001671,Geotechnics & Concrete Engineering (Hong Kong) Limited,04891095,"G/F, 2-8, Ko Shan Road, Kowloon",23659123,27658034,hr@gce.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Others(Construction Materials Testing)
R001681,Castco Testing Centre Limited,10747828,"6/F, Techno Centre, On Lok Tsuen, 33, On Kui Street, Fanling, N.T.",25978333,25978399,uspublic@castco.com.hk,13 Jan 2024,12 Jan 2027,01.09 General Civil Works :: Ground investigation
R001777,Kwong Yan Company,30753548,"Rm 601, 6/F, Assun Pacific Centre, 41, Tsun Yip Street, Kwun Tong, Kowloon",27939738,23894615,Kwongyan668@gmail.com,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Ground investigation
R002134,Victor Engineering Company Limited,33619836,"Room 501, 5/F, Siu Wai Industrial Centre, 29-33, Wing Hong Street, Sham Shui Po, Kowloon",23808636,23808666,avisng@kokim.hk,31 Mar 2025,30 Mar 2028,01.09 General Civil Works :: Ground investigation
R003302,Shun Bong Drilling Engineering (Hong Kong) Limited,31455927,"Flat/Rm 1011, 10/F, No. 1, Hung To Road, Kwun Tong, Kowloon",23446281,23446161,shunbong@yahoo.com.hk,11 May 2024,10 May 2027,01.09 General Civil Works :: Ground investigation
R004106,Goldtat Engineering & Development Limited,35261471,"Flat D, 5/F, Block 4, Yuet Wu Villa, 2, Wu Sau Street, Tuen Mun, NT",98376338,24593331,pinkynmp@gmail.com,21 Aug 2025,20 Aug 2028,01.09 General Civil Works :: Ground investigation
R004320,Tak Foo Engineering & Construction Co. Limited,31202409,"Room B3, 6/F, New East Sun Industrial Building, 18, Shing Yip Street, Kwun Tong, Kowloon",25501285,25501385,takfooeng@gmail.com,3 May 2026,2 May 2029,01.09 General Civil Works :: Ground investigation
R004452,Bonding Engineering & Construction Company Limited,19896640,"Room B3, 6/F, New East Sun Industrial Building, 18, Shing Yip Street, Kwun Tong, Kowloon",25501285,25501385,bondingwork@yahoo.com.hk,2 Jun 2026,1 Jun 2029,01.09 General Civil Works :: Ground investigation
R004540,Alliance Professional Surveyors Company Limited,35865362,"Flat 3, 12/F, Harry Industrial Building, 49-51, Au Pui Wan Street, Fo Tan, N.T.",26904138,30113064,apsurveyors@gmail.com,6 Jul 2021,5 Jul 2026,01.09 General Civil Works :: Ground investigation
R004677,Devoni GI Limited,38333796,"Room 1701-02, New Trend Centre, 704, Prince Edward Road East, San Po Kong, Kowloon",26359370,21205157,jeffkckam@gmail.com,22 Sep 2023,21 Sep 2026,01.09 General Civil Works :: Ground investigation
R004942,The Boring Engineering Ltd,01447419,"Room 15, 7/F, New Tech Plaza, 34, Tai Yau Street, Wong Tai Sin, Kowloon",23370125,23380025,boringen@netvigator.com,5 Nov 2021,4 Nov 2026,01.09 General Civil Works :: Ground investigation
R005230,Ko Kim Development Limited,51823352,"Flat 501, 5/F, Siu Wai Industrial Centre, 29-33, Wing Hong Street, Sham Shui Po, Kowloon",23808636,23808666,lewistwt@kokim.hk,13 Dec 2024,12 Dec 2027,01.09 General Civil Works :: Ground investigation
R006378,Companion Drilling Company Limited,21577220,"2/F, House 102, Villa Pinada, 88, Hong Po Road, Tuen Mun, N.T.",91618232,24553589,cddrilling@yahoo.com.hk,30 May 2026,29 May 2029,01.09 General Civil Works :: Ground investigation
R006651,Autowell Limited,36567343,"Flat G1, 35/F, Legend Tower, 7, Shing Yip Street, Kwun Tong, Kowloon",36934100,23569767,autowelllimited@gmail.com,18 Oct 2023,17 Oct 2026,"01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.02 Marble, Granite and Stone Work | 02.03 Joinery and Carpentry | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components | 04.04 Hoarding"
R007009,Hang Cheong Foundation Engineering Company,21392109,"Flat B, 11/F, Block 3, Grand Del Sol, 100, Fung Cheung Road, Yuen Long, N.T.",66234871,24431670,samandwai@hotmail.com,3 May 2024,2 May 2027,01.09 General Civil Works :: Ground investigation
R007285,Grand Promise (H.K.) Limited,58412645,"Block A26, 11/F, Wing Chai Industrial Building , 222-224, Chai Hung Road, Kwun Tong, Kowloon",27911684,30169684,acehk.murphy@gmail.com,13 Nov 2025,12 Nov 2028,01.09 General Civil Works :: Ground investigation
R007538,Wing Cheung Construction Limited,20043755,"Flat 4E, Phase 1, Blessings Garden, 95, Robinson Road, Mid-Levels, Central and Western, Hong Kong",90260730,,wccl@live.hk,16 Apr 2026,15 Apr 2029,01.09 General Civil Works :: Ground investigation
R007785,Gaint Dragon Construction Engineering Limited,60919728,"Room 21, 35/F, Hong Sang House, Kin Sang Estate, Tuen Mun, N.T.",69055165,26598285,SUN-1123@HOTMAIL.COM,30 Sep 2023,29 Sep 2026,01.09 General Civil Works :: Ground investigation
R007938,Starlight Geotechnical Engineering Limited,58509989,"Room 501, 5/F, Siu Wai Industrial Centre, 29-33, Wing Hong Street, Sham Shui Po, Kowloon",23808636,23808666,lewis.victorltd@gmail.com,23 Dec 2024,22 Dec 2027,01.09 General Civil Works :: Ground investigation
R008178,Hop Lung Geotechnical Engineering Limited,62691500,"Room 205, 2/F, Block D, Yun Fung House, Ning Fung Court, Kwai Chung, New Territories",94218886,,chankamlung0506@gmail.com,29 May 2024,28 May 2027,01.09 General Civil Works :: Ground investigation
R010931,Yong Keung Geotechnical Engineering Limited,70211237,"G/F, No.33, Luen Cheong Street, Fanling, N.T.",64193050,35662092,danhong51713553@gmail.com,27 Feb 2024,26 Feb 2027,01.09 General Civil Works :: Ground investigation
R011834,Po Fa Engineering Company,54515900,"Room 517, 5/F, Tung Shing House, Fu Tung Estate, Tung Chung, Islands, N.T.",95536381,,iphosing2003@yahoo.com.hk,20 May 2025,19 May 2028,01.09 General Civil Works :: Ground investigation
R012267,KS Geo Engineering Limited,71866104,"Unit A, 2/F, Hung To Centre, 94-96, How Ming Street, Kwun Tong, Kowloon",69925428,21208333,ksgeoengineering@gmail.com,19 Aug 2023,18 Aug 2026,01.09 General Civil Works :: Ground investigation
R012764,Kong Kei Engineering Construction Limited,67598628,"Room 3601, 36/F, Chui Yat House, Yat Tung (II) Estate, Tung Chung, N.T.",93252217,31652517,kong.k032017@gmail.com,26 Jan 2024,25 Jan 2027,01.09 General Civil Works :: Ground investigation
R012801,Kin Shun Engineering Development Limited,59848005,"Room 9058, 9/F, Block 2, Fa Yuen Building Yuk Lin Terrace, 297, Ngau Tau Kok Road, Kwun Tong, Kowloon",64765454,,kinshun3288@gmail.com,16 Feb 2026,15 Feb 2029,01.09 General Civil Works :: Ground investigation
R012838,Ying Chak Asia Limited,68918924,"Flat I, 10/F, Block 1, Kwai Tak Industrial Centre, 15-33, Kwai Tak Street, Kwai Tsing, New Territories",24086969,24089969,yca.koyin@outlook.com,11 Mar 2026,10 Mar 2029,01.09 General Civil Works :: Ground investigation
R017399,Well Bright Engineering Limited,73297206,"Unit A, 1/F, Hang Seng Centre, 95-97, Tung Chau Street, Yau Tsim Mong, Kowloon",93598266,,info.wbeng@gmail.com,2 Dec 2024,1 Dec 2027,01.09 General Civil Works :: Ground investigation
R017491,Brilliance Geotechnical Services,52375897,"Room 3, 21/F, Assun Pacific Center, 41, Tsun Yip Street, Kwun Tong, Kowloon",23452863,25702680,Brilliancegeotech@gmail.com,23 Feb 2022,22 Feb 2027,01.09 General Civil Works :: Ground investigation
R017917,Wang Hing Engineering Company,56307208,"Room 21, 4/F, Meeco Industrial Building, 53-55, Au Pui Wan Street Fo Tan, Shatin, New Territories",60991374,31880719,wanghing3266@gmail.com,25 Oct 2025,24 Oct 2028,01.09 General Civil Works :: Ground investigation
R018001,Full Power Geotechnical Engineering Limited,72551287,"Unit B, 22/F, 37-39, Wing Hong Street, Sham Shui Po, Kowloon",23808636,23808666,info@kokim.hk,15 Nov 2025,14 Nov 2028,01.09 General Civil Works :: Ground investigation
R018037,Victor Drilling Limited,74495047,"Flat 501, 5/F, Siu Wai Industrial Centre, 29-33, Wing Hong Street, Sham Shui Po, Kowloon",23808636,23808666,info@kokim.hk,12 Dec 2025,11 Dec 2028,01.09 General Civil Works :: Ground investigation
R018441,Kofe Geotechnical Engineering Limited,74508278,"Unit 5, 18/F, Technology Park, 18, On Lai Street, Sha Tin, N.T.",91239886,,info@kofegeo.com,14 Aug 2023,13 Aug 2026,01.09 General Civil Works :: Ground investigation
R018499,Chun Yuet Construction Company Limited,74581204,"Room 704F, 7/F, Block B, Po Yip Building, 62-70, Texaco Road, Tsuen Wan, N.T.",63869618,,chunyuetltd1@gmail.com,15 Sep 2026,14 Sep 2029,01.09 General Civil Works :: Ground investigation
R018505,"Kam Chun Drilling & Engineering Co., Limited",72909733,"Flat 701, 7/F, Kin Lung House, Lung Yat Estate, Tuen Mun, NT",53611201,,kckamchun@gmail.com,15 Sep 2026,14 Sep 2029,01.09 General Civil Works :: Ground investigation
R018624,Full Ko (Drill Wai) Engineering Limited,71197634,"Room 2201, 22/F, Chung Ming House, Wah Ming Estate, Fanling, New Territories",90815261,,drillwai@fullkoeng.com.hk,15 Nov 2023,14 Nov 2026,01.09 General Civil Works :: Ground investigation
R018703,Asia City Construction Engineering Limited,71189950,"Unit 501, 5/F, Belgian Bank Building, 721-725, Nathan Road, Mong Kok, Kowloon",63980268,30206649,asiacityltd@gmail.com,22 Dec 2023,21 Dec 2026,01.09 General Civil Works :: Ground investigation
R018711,Wealth Creative Engineering Limited,74769373,"10/F, The Wave, 4, Hing Yip Street, Kwun Tong, Kowloon",55485085,,www.wcel@gmail.com,17 Jan 2024,16 Jan 2027,01.09 General Civil Works :: Ground investigation
R018894,Wang Hing Engineering (HK) Company Limited,71875664,"Room 21, 4/F, Meeco Industrial Building, 53-55, Au Pui Wan Street, Fotan, N.T.",60991374,,wanghingoffice@gmail.com,24 Apr 2024,23 Apr 2027,01.09 General Civil Works :: Ground investigation
R018928,Shun Lim Construction Limited,75992537,"Room 1011, 10/F, No.1, Hung To Road, Kwun Tong, Kowloon",23446281,23446161,shunlimcltd@gmail.com,16 May 2024,15 May 2027,01.02 Foundation and Piling :: Others(Grouting Works) | 01.09 General Civil Works :: Ground investigation
R018932,Samsun Engineering Limited,65224463,"G/F, 49C, Wong Chuk Street, Sham Shui Po, Kowloon",26887005,36999298,martin@hksamsun.com,16 May 2024,15 May 2027,01.09 General Civil Works :: Ground investigation
R019201,Ding Ho Drilling Company,55044726,"Room 907, 9/F, Fabrico Factory Building, 78-84, Kwai Cheong Road, Kwai Tsing, N.T.",96577191,36194709,lingling_choicrazy@hotmail.com,21 Oct 2024,20 Oct 2027,01.09 General Civil Works :: Ground investigation
R019330,Xiang Yang Engineering Company,57780005,"Room 60, 5/F, Tong An Mansion, 60-70, Tseuk Luk Street, Wong Tai Sin, Kowloon",63800361,,jiangzhengquan1970@icloud.com,10 Jan 2025,9 Jan 2028,01.09 General Civil Works :: Ground investigation
R019368,Wing Fai Engineering Co.,38327446,"Room E, 5/F, Block 5, Pokfulam Gardens, 180, Pokfulam Road, Southern, Hong Kong",93671563,25501091,wingfaiengco@gmail.com,12 Feb 2025,11 Feb 2028,01.09 General Civil Works :: Ground investigation
R019591,Yun Fat Foundation Engineering Company,57608934,"Flat B, 11/F, Block 3, Grand Del Sol, 100, Fung Cheung Road, Yuen Long, NT",62896992,,chan.chi78@yahoo.com,28 Jul 2025,27 Jul 2028,01.09 General Civil Works :: Ground investigation
R019744,Pioneer Civil Engineering Company Limited,65030719,"G/F, 22, Tsui Fung Street, Wong Tai Sin, Kowloon",25533697,30122638,Pioneercivil@gmail.com,19 Nov 2025,18 Nov 2028,01.09 General Civil Works :: Ground investigation
R019792,Fuk Shing Drilling Limited,71596296,"Unit 1203, 12/F, Fortune Commercial Building, 362, Sha Tsui Road, Tsuen Wan, N.T.",94188100,30169311,fukshingdl@gmail.com,9 Dec 2025,8 Dec 2028,01.09 General Civil Works :: Ground investigation
R020018,Wide Ascent Engineering Limited,35606358,"No.133, Nam Wa Po, Tai Wo Service Road West, Tai Po, NT",61076277,,wideascentlai@gmail.com,28 May 2026,27 May 2029,01.09 General Civil Works :: Ground investigation
R020052,Heap Yan Drilling Company,20953706,"Room 02, 28/F, Kam Lai House, Kam Tai Court, 33, Ning Tai Road, Ma On Shan, Shatin, NT",94769223,,sinlapsang@gmail.com,18 Jun 2026,17 Jun 2029,01.09 General Civil Works :: Ground investigation
R000175,Alga (Far East) Limited,19840885,"Unit 06-07, 21/F, Saxon Tower, 7, Cheung Shun Street, Sham Shui Po, Kowloon",23668706,27538796,alga@alga.com.hk,6 Apr 2026,5 Apr 2029,01.10 Other Structural and Civil Trades :: Pre-stressing system | 01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Others(Supply and Installation of Bearings for Highway Structures)
R003133,Hong Kong OVM Engineering Company Limited,33728788,"27/F, Tower A, 83, King Lam Street, Sham Shui Po, Kowloon",37588711,27446937,techsec@chunwo.com,4 Jan 2024,3 Jan 2027,01.10 Other Structural and Civil Trades :: Pre-stressing system
R000199,Wo Loong Engineering And Construction Limited,07441095,"Block 8, 4/F, Kowloon Bay Industrial Centre, 15, Wang Hoi Road, Kwun Tong, Kowloon",27562262,27963027,woloong@netvigator.com,6 Apr 2026,5 Apr 2029,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Lightweight Concrete)
R000200,Meridian Construction Co Ltd,07592072,"Room 09, 4/F, 15, Wang Hoi Road, Kwun Tong, Kowloon",27519356,21868780,mcclhk@netvigator.com,6 Apr 2026,5 Apr 2029,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Lightweight Concrete)
R000229,Sanfield Industries Ltd,09993256,"Room 2905, 29/F, Cable TV Tower, 9, Hoi Shing Road, Tsuen Wan, New Territories",28336828,25727820,info@sanfieldhk.com,30 Apr 2026,29 Apr 2029,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing
R000481,Merchandise Building Materials Limited,19887758,"Room B, 14/F, Seabright Plaza, 9-23, Shell Street, North Point, Hong Kong",27184333,27160063,mbmhk@merchandise.com.hk,17 Jun 2024,16 Jun 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 02.10 Other Finishing Trades and Components :: Others(Floor Mat System)
R000654,Advance Specialist Treatment Engineering Ltd,07400330,"Flat 09, 38/F, Skyline Tower, 39, Wang Kwong Road, Kwun Tong, Kowloon",27969229,27950020,astel@astelhk.com,26 Aug 2024,25 Aug 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Epoxy Flooring) | 02.10 Other Finishing Trades and Components :: Others(Joint Sealant work)
R000780,Kenny Engineering Company Limited,17898543,"Villa Fong Yuen, 290, Deep Bay Road, Lau Fau Shan, Yuen Long, N.T.",24273200,24813675,info@kennyengltd.corp.com.hk,7 Oct 2023,6 Oct 2026,01.09 General Civil Works :: Others(Road Marking) | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.10 Other Finishing Trades and Components :: Signage and graphics | 03.21 Other E&M Trades :: Signage
R000963,Sho-Bond (Hong Kong) Limited,12382599,"Room 1223, 12/F, Corporation Park, 11, On Lai Street, Shatin, N.T.",26378302,26373178,shobondhk@gmail.com,7 Oct 2023,6 Oct 2026,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair
R001670,Union Engineering Limited,14607284,"Flat/Rm 610, 6/F, Kinetic Industrial Centre, 7, Wang Kwong Road, Kowloon Bay, KL",25707463,25034876,sy.li@unionengltd.com,13 Jan 2024,12 Jan 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 02.10 Other Finishing Trades and Components :: Others(Anti-slip coating) | 02.10 Other Finishing Trades and Components :: Others(Epoxy Floor Coating) | 02.10 Other Finishing Trades and Components :: Others(Floor Hardener)
R002083,Viewing Services Company Limited,16262189,"Block C, 1/F, Startex Industrial Building, 14, Tai Yau Street, San Po Kong, Kowloon",23500241,23500497,general@viewing.com.hk,31 Mar 2024,30 Mar 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Anti-slip Treatment on Floor)
R002223,Standard Waterproofing Engineers Company Limited,05163029,"Unit A, 4/F, Wing Hing Industrial Building, 499, Castle Peak Road, Sham Shui Po, Kowloon",28380688,28329840,swp@waterproofing.com.hk,25 May 2025,24 May 2028,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing
R002514,ABS Building Systems (Far East) Limited,17404324,"Room 65, 8/F, Sino Industrial Plaza , 9, Kai Cheung Road, Kwun Tong, Kowloon",27980376,27582263,info@absfloor.com,13 Sep 2025,12 Sep 2028,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Epoxy Flooring)
R002516,Kesford (Hong Kong) Limited,32035801,"Flat 01, 21/F, Lucida Industrial Building, 43-47, Wang Lung Street, Tsuen Wan, N.T.",23968813,24067038,info@kesford.com.hk,13 Sep 2025,12 Sep 2028,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Epoxy Flooring)
R002886,Top Waterproof Engineering Limited,17964893,"9/F, Wah Yuen Factory Building, 21, Beech Street, Yau Tsim Mong, Kowloon",28975682,28967929,top@topgroup.com.hk,19 Jun 2026,18 Jun 2029,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing
R003229,Unica Services Company Limited,37157343,"Flat 1, 16/F, Assun Pacific Centre, 41, Tsun Yip Street, Kwun Tong, Kowloon",25274689,25276260,info@unica-hk.com,26 Mar 2024,25 Mar 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing
R004007,Sunray Engineering (HK) Company Limited,37463738,"5/F, International Industrial Building, 501-503, Castle Peak Road, Kowloon",39776789,39776766,info@sunrayeng.com.hk,2 Jun 2024,1 Jun 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Others(Floor Hardener) | 02.10 Other Finishing Trades and Components :: Others(Joint Sealant work)
R004012,Million Target Enterprises Limited trading as Mandas Enterprises,19929398,"Workshop G, 6/F, Effort Industrial Building, 2-8, Kung Yip Street, Kwai Tsing, N.T.",23011693,23983495,info@mandas.com.hk,2 Jun 2024,1 Jun 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing
R004726,Wang Yip Construction Works Limited,51821245,"Unit 6, 11/F, Block A, Hoi Luen Industrial Centre, 55, Hoi Yuen Road, Kwun Tong, Kowloon",26657818,26674832,wangyip338@gmail.com,22 Sep 2026,21 Sep 2029,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.03 Joinery and Carpentry :: Partition walls | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.05 Shutters/Doors Fabrication and Installation :: Stainless steel door | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Signage and graphics | 02.10 Other Finishing Trades and Components :: Miscellaneous work | 04.04 Hoarding | 04.05 Temporary Water Supply Installations | 04.07 Temporary Protective and Safety Measures :: Temporary fences for unfenced edges | 04.08 Miscellaneous Cleaning Services :: Cleaning of completed building units prior to handing over to individual owners
R005716,Mat Pro Limited,36962414,"Unit 2, 4/F, Leader Industrial Centre, 57-59, Au Pui Wan Street, Fo Tan, N.T.",21749996,21749986,matpro2@gmail.com,13 Apr 2024,12 Apr 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair | 02.06 Tanking and Waterproofing | 02.10 Other Finishing Trades and Components :: Sports and playground equipment/surface | 02.10 Other Finishing Trades and Components :: Others(Epoxy Floor Coating Work)
R006264,Forever Rich Corporation Limited,30199439,"Room B04, 5/F, Mow Hing Factory Building, 205, Wai Yip Street, Wong Tai Sin, Kowloon",23666486,23666480,alvingai@gmail.com,20 Mar 2026,19 Mar 2029,01.10 Other Structural and Civil Trades :: Expansion joints
R006735,Ever Glory Building Materials Limited,32471425,"Room 1115, 11/F, Metro Centre 2, 21, Lam Hing Street, Kwun Tong, Kowloon",21379971,31001156,everglorybml@gmail.com,15 Nov 2023,14 Nov 2026,01.10 Other Structural and Civil Trades :: Expansion joints | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.10 Other Finishing Trades and Components :: Glazier work
R007721,Wah Lam (International) Building Materials Limited,37986758,"Room 802, 8/F, Tai Tak Industrial Buildig, 2-12, Kwai Fat Road, Kwai Chung, N.T.",34603040,81472102,info@wlibm.com.hk,27 Aug 2023,26 Aug 2026,01.10 Other Structural and Civil Trades :: Expansion joints | 02.03 Joinery and Carpentry :: Cabinetry | 02.03 Joinery and Carpentry :: Partition walls | 02.03 Joinery and Carpentry :: Work/counter top | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.10 Other Finishing Trades and Components :: Toilet and shower cubicle system
R009662,HLT Construction Company Limited,21605855,"Unit 115, 1/F, Liven House, 61-63 , King Yip Street, Kwun Tung, Kowloon",23889959,23869765,hlt@hlt.com.hk,24 May 2024,23 May 2027,01.10 Other Structural and Civil Trades :: Expansion joints | 02.04 Window Fabrication and Installation :: Aluminum window/louvers | 02.05 Shutters/Doors Fabrication and Installation :: Timber doors | 02.05 Shutters/Doors Fabrication and Installation :: Metal doors | 02.05 Shutters/Doors Fabrication and Installation :: Roller and folding security shutter | 02.10 Other Finishing Trades and Components :: Toilet and shower cubicle system | 02.10 Other Finishing Trades and Components :: Signage and graphics | 04.04 Hoarding | 04.08 Miscellaneous Cleaning Services :: Cleaning of completed building units prior to handing over to individual owners
R010091,Atlas Engineering Services Limited,32758574,"Room 3208, 32/F, Central Plaza, 18, Harbour Road, Wan Chai, Hong Kong",22319631,22319600,raymond@atlashongkong.com,24 Oct 2025,23 Oct 2028,01.10 Other Structural and Civil Trades :: Expansion joints
R010539,Sum Kee Construction Company,19646308,"Room 14, 26/F, Block B, Chung Sin House, Chung Nga Court, Tai Po, N.T.",94510320,00000000,sumkee1776@gmail.com,14 Jun 2023,13 Jun 2026,01.10 Other Structural and Civil Trades :: Expansion joints | 01.10 Other Structural and Civil Trades :: Concrete repair
